topic,question,answer
Track Order,Where is my order?,You can track your order by visiting our website and clicking "Track Order" at the top. Enter your order ID and registered email to see real-time updates. You will also receive tracking updates via email and SMS once your order is shipped.
Track Order,How long does delivery take?,Standard delivery takes 5–7 business days. Express delivery takes 2–3 business days. Orders placed before 2 PM IST on weekdays are dispatched the same day. You will get a confirmation SMS once your order ships.
Track Order,My order is delayed. What do I do?,We are sorry for the delay! Delays can happen due to high demand or weather conditions. Please check your tracking link for the latest update. If your order is more than 3 days past the expected date please contact our support team.
Cancel Order,Can I cancel my order?,You can cancel your order within 2 hours of placing it. After that the order enters processing and cannot be cancelled. To cancel go to My Orders on our website and click Cancel. Refund will be processed within 5–7 business days.
Cancel Order,I missed the 2-hour cancellation window. What now?,Once the order is in processing we cannot cancel it. However once you receive the item you can initiate a return within 30 days for a full refund. We apologise for the inconvenience.
Refund,What is your refund policy?,We offer full refunds within 30 days of delivery. Items must be unused and in original packaging. Sale items are not eligible for refunds but can be exchanged within 14 days.
Refund,How long does a refund take?,Once we receive the returned item refunds are processed within 5–7 business days. The amount is credited back to your original payment method. You will receive a confirmation email once the refund is initiated.
Refund,I returned my item but have not received my refund yet.,Please allow 5–7 business days after we receive your return. If it has been more than 7 days please check your bank statement and also check your email for our refund confirmation. If still not received please contact our support team.
Damaged Item,I received a damaged item. What do I do?,We are really sorry about this! Please take clear photos of the damaged item and packaging and contact our support team within 48 hours of delivery. We will send a replacement or issue a full refund based on your preference.
Wrong Item,I received the wrong item.,We apologise for this error! Please contact our support team within 48 hours with your order number and a photo of the item received. We will arrange the correct item to be sent and cover return shipping costs.
Payment,What payment methods do you accept?,We accept all major credit and debit cards (Visa, Mastercard, RuPay), UPI (GPay, PhonePe, Paytm), Net Banking, and Cash on Delivery for eligible orders.
Payment,My payment failed but money was deducted.,This can happen when a payment is interrupted. The deducted amount is usually reversed automatically within 3–5 business days. If it is not reversed please contact your bank with the transaction ID. You can also reach our support team with your order details.
Account,How do I reset my password?,Go to the login page and click "Forgot Password". Enter your registered email address and we will send a reset link valid for 24 hours. Check your spam folder if you do not see the email.
Account,How do I update my phone number or address?,Log in to your account and go to Settings. You can update your phone number, email, and saved addresses there. Changes take effect immediately.
